Unnamed: 0,Field,CANDELS_ID,z,RA_gal,DEC_gal,A,Clump_ID,dist_clump,flux_ratio,restuv_flux,RA_clump,DEC_clump,Raw_Flux_f125w,Background_Flux_f125w,Corrected_Flux_f125w,Raw_Flux_f160w,Background_Flux_f160w,Corrected_Flux_f160w,Raw_Flux_f275w,Background_Flux_f275w,Corrected_Flux_f275w,Raw_Flux_f435w,Background_Flux_f435w,Corrected_Flux_f435w,Raw_Flux_f606w,Background_Flux_f606w,Corrected_Flux_f606w,Raw_Flux_f775w,Background_Flux_f775w,Corrected_Flux_f775w,Raw_Flux_f850lp,Background_Flux_f850lp,Corrected_Flux_f850lp,Raw_Flux_f140w,Background_Flux_f140w,Corrected_Flux_f140w
10,goodss,49,2.01,53.0906011,-27.9524238,4.831,2,3.49814415083198,0.1732311480644989,0.330353,53.09055313119852,-27.952409958861608,1.8067226484020085,1.0285999297986967,0.7781227186033117,2.056453606757821,1.106771564422268,0.9496820423355532,0.007176613015214035,-0.003290928340805964,0.010467541356019999,0.13252408118708434,0.06632428530349932,0.06619979588358502,0.4826104874945035,0.2667757171995582,0.2158347702949453,0.28468390418490847,0.17330970099724352,0.11137420318766494,0.19749082239103458,0.10805781241858432,0.08943300997245025,,,
11,goodss,73,1.531,53.0995266,-27.9491529,4.154,1,2.415874582837445,0.2703920901023067,0.179191,53.09957262376878,-27.949161784097416,1.2759736338196104,0.5501585028280216,0.7258151309915888,1.2109007251026422,0.5542657318846466,0.6566349932179957,0.002364649519323568,-4.069483022171957e-05,0.0024053443495452875,0.162714601376709,0.06986269436224636,0.09285190701446265,0.39495698005017466,0.1588367348170798,0.23612024523309486,0.2612955841487948,0.10666827346935216,0.15462731067944263,0.17439535044250912,0.07785912833369442,0.0965362221088147,1.7999088399467902,0.9192489815959468,0.8806598583508434
12,goodss,73,1.531,53.0995266,-27.9491529,4.154,2,9.461313333781945,0.0418609826900298,0.179191,53.09938397315413,-27.949061752988644,0.3252405841103665,0.2810774957453059,0.04416308836506061,0.26566582171369224,0.2709163515164055,-0.005250529802713233,0.01277169589068956,0.005526206984167026,0.007245488906522534,0.08355035652085509,0.030818162059844736,0.05273219446101035,0.23126287800359727,0.10345137914146038,0.12781149886213689,0.11839982969144704,0.06687074232713873,0.05152908736430831,0.05483445408707186,0.04322587536883976,0.0116085787182321,0.5702583314732452,0.32300907718443983,0.2472492542888054
13,goodss,79,1.012,53.0905242,-27.9505466,10.436,1,21.21876999262681,0.0198220559206334,1.01189,53.09074226623816,-27.95086001270661,0.951152291384366,0.9437621706894442,0.007390120694921731,0.9618062786233808,0.9027179681973854,0.05908831042599538,-0.017899256417556426,-0.011437953095047665,-0.006461303322508761,0.09886388119465864,0.0552253633012522,0.043638517893406434,0.30465902785317195,0.22344257399722667,0.08121645385594528,0.25744323793068785,0.20426973067783247,0.053173507252855384,0.1968684586203272,0.18976087293255536,0.007107585687771839,-1.004348345884129e-18,-1.820318825511097e-18,8.159704796269681e-19
14,goodss,79,1.012,53.0905242,-27.9505466,10.436,2,11.759090100853893,0.0515270166564611,1.01189,53.09045928834253,-27.950743281037823,3.167629338575566,2.2725472739338595,0.8950820646417066,2.671820646566548,2.1767440313669515,0.49507661519959667,0.005224769450129348,-0.012008944742302092,0.01723371419243144,0.15479865428156458,0.06692025667333537,0.08787839760822921,0.6958293923664358,0.3266157873593962,0.3692136050070396,0.6712863268262423,0.384792866071581,0.28649346075466137,0.5202498379332166,0.3318285843817489,0.18842125355146766,1.5497204712740925e-18,-1.0693929535593146e-18,2.619113424833407e-18
15,goodss,79,1.012,53.0905242,-27.9505466,10.436,3,11.82016074340785,0.0815076184558353,1.01189,53.09074233507276,-27.950626680870933,4.970895562497085,3.670220771256009,1.300674791241076,4.765044804369083,3.7646405631628066,1.0004042412062764,-8.12734589524663e-05,0.008703187042041548,-0.008784460500994015,0.26868699181655864,0.1536807718102104,0.11500622000634825,1.1247850683068157,0.7036978536621745,0.42108721464464116,1.1161028664890527,0.7295379648914773,0.3865649015975754,0.9325780787867152,0.6360606024609572,0.296517476325758,5.343861926412238e-18,-3.4326248713557417e-20,5.378188175125795e-18
16,goodss,79,1.012,53.0905242,-27.9505466,10.436,4,22.102402584334584,0.1039832900501668,1.01189,53.09011974374247,-27.950509869535257,1.8786579936589538,0.906363187180322,0.9722948064786318,1.6140038186753964,0.8332689232746813,0.7807348954007152,0.05671871006836175,0.005939244490290377,0.05077946557807138,0.31824660847316344,0.07179169311851688,0.24645491535464656,1.0580999441735865,0.27649627101900487,0.7816036731545817,0.8889458913932993,0.2574430190258929,0.6315028723674063,0.44091586452724935,0.13968725937695575,0.3012286051502936,-1.4281376842120652e-18,-5.130734420013232e-18,3.7025967358011665e-18
17,goodss,79,1.012,53.0905242,-27.9505466,10.436,5,11.651446262159904,0.0139363615668289,1.01189,53.0906103368572,-27.950376651858647,2.8310991368523717,2.3499494592655132,0.48114967758685845,2.7403828478485583,2.4417415505890525,0.29864129725950583,0.0021110721949101656,0.0006439009454731318,0.0014671712494370337,0.10892128428620772,0.07080307238731795,0.03811821189888977,0.5676421628509956,0.3739444196450656,0.19369774320592997,0.5616956036904195,0.4182969260040234,0.14339867768639608,0.4790047381486332,0.3691025440340868,0.10990219411454638,-1.0736685260155997e-18,3.1568923902033436e-18,-4.230560916218943e-18
18,goodss,79,1.012,53.0905242,-27.9505466,10.436,6,15.429069965490468,0.063163489592419,1.01189,53.09032732550137,-27.950376585837997,5.973576690945886,2.999999287002169,2.973577403943717,5.767802812515529,3.0103439667882745,2.7574588457272546,-0.0017725343247144447,-0.01011727555912384,0.008344741234409394,0.2002317879243771,0.07018267001390338,0.13004911791047372,1.0273375585546227,0.4054725442624804,0.6218650142921422,1.0330254125242144,0.46726854484483854,0.5657568676793758,0.8530270510914855,0.42241505968909504,0.4306119914023904,-2.2493761251814234e-18,1.7144823478264508e-18,-3.963858473007874e-18
19,goodss,79,1.012,53.0905242,-27.9505466,10.436,7,14.04051993339278,0.0180066775534122,1.01189,53.09049714717787,-27.950326625839157,3.2004088690830748,2.289679857881373,0.9107290112017017,3.0194402724065474,2.2700175665227813,0.7494227058837661,-0.0044688787615528355,-0.009103265972400626,0.004634387210847791,0.09249025750773351,0.05028052446324461,0.042209733044488905,0.5176064131572463,0.3045411820776057,0.2130652310796406,0.5162591406400953,0.34663154675978175,0.1696275938803135,0.48305773645033107,0.33177944843372403,0.15127828801660703,-4.215901441268132e-18,3.222623108857349e-18,-7.438524550125481e-18
