Unnamed: 0,Field,CANDELS_ID,z,RA_gal,DEC_gal,A,Clump_ID,dist_clump,flux_ratio,restuv_flux,RA_clump,DEC_clump,Raw_Flux_f125w_mjy,Background_Flux_f125w_mjy,Corrected_Flux_f125w_mjy,Raw_Flux_f160w_mjy,Background_Flux_f160w_mjy,Corrected_Flux_f160w_mjy,Raw_Flux_f275w_mjy,Background_Flux_f275w_mjy,Corrected_Flux_f275w_mjy,Raw_Flux_f435w_mjy,Background_Flux_f435w_mjy,Corrected_Flux_f435w_mjy,Raw_Flux_f606w_mjy,Background_Flux_f606w_mjy,Corrected_Flux_f606w_mjy,Raw_Flux_f775w_mjy,Background_Flux_f775w_mjy,Corrected_Flux_f775w_mjy,Raw_Flux_f850lp_mjy,Background_Flux_f850lp_mjy,Corrected_Flux_f850lp_mjy,Raw_Flux_f140w_mjy,Background_Flux_f140w_mjy,Corrected_Flux_f140w_mjy,Fld,F,ID,W,RAJ2000,DEJ2000,Q,mag,e_mag,r,e_r,n,e_n,q_lc,e_q,PA,e_PA,S_N,COSMOS,GOODS,recno,GroupID,GroupSize,Separation,Uncertainty_275_mjy,Uncertainty_435_mjy,Uncertainty_606_mjy,Uncertainty_775_mjy,Uncertainty_850_mjy,Uncertainty_125_mjy,Uncertainty_140_mjy,Uncertainty_160_mjy
459,goodss,2237,2.264,53.2088796,-27.8950301,3.991,1,2.205904009697613,0.3470986354764335,0.197745,53.20888402121015,-27.895053840323243,0.1486228977399764,0.06922664018631768,0.11909438633048808,0.24263651530729266,0.10548520894732155,0.2057269595399567,0.0004533102431227719,-0.023995809077982825,0.03667367898165839,0.02151525175144492,0.012705581534621233,0.01321450532523553,0.039328499585142916,0.020098289079149206,0.028845315758990565,0.05102407478386807,0.022363720920829545,0.04299053079455779,0.07367611217542124,0.0351320406710932,0.05781610725649207,0.18059294288744282,0.10264431951051091,0.11692293506539787,G,H,2237,,53.208878,-27.895029,0,23.885,0.05,0.256,0.013,0.424,0.118,0.559,0.041,-73.8,2.8,38.09,0,1,74101,,,0.006449578991587534,0.00033398518900563246,0.0004912320863417887,0.0007551720500206866,0.0005323884413184061,0.0003088532858647605,0.002081621977935624,0.005578057232474468,0.0021673172331385672
460,goodss,2238,0.815,53.2320031,-27.8960532,7.875,-99,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,G,H,2238,,53.232002,-27.896053,0,21.263,0.011,0.402,0.005,1.485,0.042,0.358,0.008,-60.4,0.6,238.81,0,2,74102,,,0.0035731326327282198,,,,,,,,
461,goodss,2248,0.9666,53.0930602,-27.8960742,8.845,-99,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,G,H,2248,,53.09306,-27.896074,0,22.14,0.029,0.677,0.02,1.067,0.067,0.346,0.016,-16.4,1.0,96.14,0,1,74112,,,0.0009608961348388258,,,,,,,,
462,goodss,2268,0.685,53.1425845,-27.8950661,7.642,-99,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,G,H,2268,,53.142582,-27.895063,0,21.979,0.015,0.497,0.009,1.317,0.045,0.237,0.009,-76.9,0.7,181.49,0,1,74132,,,0.013704588564613956,,,,,,,,
463,goodss,2270,1.173,53.1066731,-27.8953089,6.001,1,5.000501224877362,0.2164489324263718,0.518691,53.10663694996733,-27.895379673008165,0.7279556203286314,0.43927100425200655,0.43302692411493715,1.0232904967621526,0.6196333724438179,0.6054856864775018,0.02304772562155699,-0.0024515720032861786,0.03824894643726476,0.08468313351076183,0.03620784335944549,0.07271293522697451,0.1470956793565267,0.06720645617131091,0.11983383477782374,0.24096786864377162,0.12438080250761677,0.1748805992042323,0.4485093514588464,0.25616791076529766,0.2885121610403231,0.8712076484427781,0.5248649041586325,0.5195141164262185,G,H,2270,,53.10667,-27.895306,0,21.239,0.011,0.331,0.004,1.096,0.034,0.9,0.008,84.1,0.7,222.28,0,1,74134,125,2,0.014362358492776846,0.0003387996672189524,0.00040932515035303914,0.0006858221007567147,0.0007042491770362435,0.00031318110164684247,0.002167589406691562,0.00554844440170435,0.0023049620808969235
464,goodss,2270,1.173,53.1066731,-27.8953089,6.001,2,3.160698103267693,0.1166381602445404,0.518691,53.10671239868061,-27.895263015363685,0.846527946985754,0.48884269970102623,0.5365278709270916,1.2567176581359503,0.7251497202415511,0.7973519068415988,0.001075389065943137,0.0016141651181766229,-0.0008081640783502288,0.04568547643802056,0.027224602434386493,0.027691311005451094,0.09309678867800295,0.05648909698737391,0.05491153753594355,0.201401304606415,0.11869595630392493,0.12405802245373515,0.41556254941886944,0.24976844227774983,0.24869116071167938,1.0570754580666797,0.6063928583877962,0.676023899518325,G,H,2270,,53.10667,-27.895306,0,21.239,0.011,0.331,0.004,1.096,0.034,0.9,0.008,84.1,0.7,222.28,0,1,74134,125,2,0.014362358492776846,0.00034458673189159266,0.0004398604673057859,0.0006772775220007419,0.0006942137762922521,0.0003134085373822622,0.002171404628453005,0.005504543975500172,0.0023178829765768583
465,goodss,2278,1.9388,53.2328259,-27.8946637,5.092,1,5.546692708272201,0.3275899067202599,1.26659,53.23271987912126,-27.89468697489063,0.2526193730867848,0.09674970180230916,0.23380450692671342,0.4463787258727223,0.14629737193616454,0.45012203090483677,0.030673553594990525,0.0022682802373248183,0.04260791003649856,0.21124774418859127,0.06222181566720529,0.22353889278207895,0.2287460203512596,0.06930448318320184,0.2391623057520866,0.22013826374711049,0.07069504493043534,0.2241648282250127,0.22001339156079722,0.07180960594464114,0.22230567842423413,0.37404981022485906,0.13477357345567012,0.35891435515378345,G,H,2278,,53.232822,-27.894663,0,22.848,0.024,0.346,0.007,0.222,0.026,0.55,0.014,76.9,1.0,84.83,0,1,74142,126,3,0.012661981371980964,0.000351142123557266,0.0005590207427899174,0.0008645383304329898,0.0008596843595974226,0.0002936694764908489,0.002138597873418969,0.005308725567608306,0.0021139452291405935
466,goodss,2278,1.9388,53.2328259,-27.8946637,5.092,2,5.776313703392501,0.1509426870473477,1.26659,53.23292729677556,-27.89467014351341,0.1818670266938315,0.06687971782153133,0.17248096330845028,0.2656046648111275,0.09358113735643475,0.2580352911820392,0.010478785439726858,-0.0028654433407420904,0.020016343170703423,0.13847175683903598,0.04271752217516794,0.1436313519958021,0.14707645992554827,0.04564165693437014,0.1521522044867672,0.14227012415312856,0.04955428977401833,0.13907375156866536,0.14288965606751317,0.046410962097222126,0.14471804095543653,0.24803907695626845,0.09570061221889223,0.22850769710606436,G,H,2278,,53.232822,-27.894663,0,22.848,0.024,0.346,0.007,0.222,0.026,0.55,0.014,76.9,1.0,84.83,0,1,74142,126,3,0.012661981371980964,0.0003360539735838437,0.0005534384038970549,0.0008759338070077745,0.0008791155879252835,0.000287273328044823,0.002106413495660939,0.005338810620346693,0.002094561072049566
467,goodss,2278,1.9388,53.2328259,-27.8946637,5.092,3,3.6994323888942753,0.216012013207249,1.26659,53.232851798421066,-27.89460353707478,0.23391619508665631,0.08275730515116246,0.22673833490324077,0.28664633002367673,0.11899255825140878,0.2514806576584019,-0.003848196810805342,-0.000965626654643835,-0.00432385523424226,0.13692634847307616,0.04638293009131894,0.1358151275726358,0.14827210720593986,0.05221250601935871,0.14408940177987176,0.14661365368433468,0.054383328302136456,0.13834548807329736,0.15062398377129907,0.055450914386608235,0.14275960407703628,0.2707707953448768,0.10835590234537927,0.24362233949924628,G,H,2278,,53.232822,-27.894663,0,22.848,0.024,0.346,0.007,0.222,0.026,0.55,0.014,76.9,1.0,84.83,0,1,74142,126,3,0.012661981371980964,0.0003366180876535459,0.0005551763708322214,0.0008704961382454083,0.0008681599860802281,0.00028569719170232953,0.002104250762132845,0.005353851205144939,0.002120799956606952
468,goodss,2285,2.022,53.196826,-27.8943986,4.7,1,1.0606601717798212,0.5429897435281907,0.287878,53.19683345519991,-27.894410808780297,0.23491698445100603,0.07868614602388621,0.2343462576406797,0.3746660758323095,0.12400274059395831,0.37599500285752674,-0.008098526230346209,-0.007232065468935346,-0.0012996911421162965,0.05472818399046338,0.015369262457747949,0.05903838229907314,0.07635488486753812,0.021165828776511533,0.0827835841365399,0.09782412287149665,0.027310069962730794,0.1057710793631488,0.12350480496988989,0.03952833606837383,0.12596470335227405,0.30869090406724237,0.10893766766221455,0.2996298546075417,G,H,2285,,53.196823,-27.894396,0,23.151,0.087,0.373,0.047,3.056,0.545,0.641,0.04,78.4,3.9,49.5,0,1,74149,,,0.013368610085618297,0.00032337455957390856,0.0003705222538815056,0.0005208558249824788,0.0003932206534146432,0.00029380644224158355,0.0021395793198413127,0.005451506740806264,0.002162100903190296
469,goodss,2287,2.006,53.2552683,-27.8947637,5.533,1,10.64852630648955,0.0247389216372568,0.580984,53.25510418099339,-27.894867401585657,0.06857011130729566,0.05709404078800785,0.017214105778931718,0.10110782487928249,0.07821126561130044,0.034344838901973075,-0.012425749390971512,-0.003441310730675506,-0.013476657990444011,0.03003808217710355,0.018853445656268192,0.016776954781253038,0.03783207402367952,0.02419914667502512,0.020449391022981593,0.03550301959589179,0.02797282345413418,0.011295294212636425,0.04871903790541191,0.03365324490623087,0.022598689498771567,,,,G,H,2287,,53.255268,-27.894762,0,22.615,0.026,0.373,0.011,0.836,0.071,0.87,0.019,80.4,1.4,79.36,0,1,74151,127,2,0.006193988628604671,0.0003489421187520011,0.0005873602744833565,0.001474513598332057,0.0011551222940814603,0.00023536606321695127,0.002123836664073476,,0.0020491202435112725
470,goodss,2287,2.006,53.2552683,-27.8947637,5.533,2,4.327945528769971,0.1087812791927436,0.580984,53.25517944910933,-27.89473399683947,0.19679160554649464,0.16479093783071977,0.04800100157366228,0.2747637672313896,0.22380186603994487,0.07644285178716713,-0.011403649738471291,-0.0025682615002650465,-0.013253082357309369,0.04181444252514877,0.02505786166843192,0.025134871285075272,0.05540578916636515,0.03353007062478849,0.032813577812365,0.07360664459682262,0.04781154203496426,0.038692653842787535,0.09940553742570744,0.06756996586011567,0.04775335734838765,,,,G,H,2287,,53.255268,-27.894762,0,22.615,0.026,0.373,0.011,0.836,0.071,0.87,0.019,80.4,1.4,79.36,0,1,74151,127,2,0.006193988628604671,0.00035335153502702953,0.0005785135340211077,0.0014399899683720423,0.0011540293958232286,0.0002368234164858978,0.002124281699342753,,0.002058349711057743
471,goodss,2309,2.623,53.1251353,-27.8940145,3.974,1,7.819108005392942,0.2005597303659561,0.10848,53.12523077648388,-27.89391392441606,0.05094040709476212,0.02552219055095495,0.03812732481571075,0.05573483229205335,0.03905183961164464,0.025024489020613053,-0.008235540565683076,-0.0074664125722081354,-0.0011536919902124109,0.01224793367332554,0.003671217262548844,0.012865074616165043,0.0180410176823516,0.007341998230826371,0.016048529177287843,0.02005533856997238,0.006286142891228909,0.020653793518115204,0.0252075366873407,0.012264264155765153,0.019414908797363326,0.04589706691736634,0.0224642909263609,0.03514916398650816,G,H,2309,,53.125134,-27.894012,0,23.836,0.124,0.402,0.064,1.99,0.561,0.562,0.063,52.4,5.7,28.04,0,1,74173,,,0.009904977534383772,0.000323236126483551,0.0006067996699832017,0.0008128208002613469,0.0008559794735012809,0.000346209534246861,0.0021327227879521364,0.0053436688214222716,0.0021468191152523167
472,goodss,2311,2.248,53.1424197,-27.894184,4.285,1,6.460674306912553,0.046837139478012,0.366479,53.14231583576749,-27.8942458979948,0.054888120426321636,0.047222464113951805,0.01149848446855475,0.07166088020007544,0.056189410692383826,0.0232072042615374,-0.00664663982133055,-0.003706393436986527,-0.004410369576516034,0.02410658675767427,0.01473745866134027,0.014053692144501001,0.029784994494123945,0.018405924256805376,0.017068605355977855,0.030059879930496032,0.0179378261064899,0.018183080736009192,0.03715666020484677,0.021549107110175394,0.023411329642007053,0.0638452848325936,0.053436873831610464,0.015612616501474686,G,H,2311,,53.142418,-27.894182,2,23.643,0.101,0.4,0.068,8.0,1.625,0.797,0.058,-12.7,5.2,41.35,0,1,74175,128,2,0.009005364646472974,0.00032286977461334,0.000470618691536602,0.0006292065600486002,0.0008391575208731703,0.00034357593743438347,0.001680713034007711,0.0054469781011009955,0.001663905866836199
473,goodss,2311,2.248,53.1424197,-27.894184,4.285,2,3.9294163052545095,0.2387905127629969,0.366479,53.14248553966246,-27.894162540784297,0.10482557540118256,0.06030723191578595,0.06677751522809491,0.14042240100893447,0.08757251106694214,0.07927483491298849,0.008287253108190796,-0.0024517889550440632,0.01610856309485229,0.048388979906215455,0.02341344493495716,0.037463302456887455,0.054755108601419085,0.028280402136727546,0.03971205969703731,0.061744906612524485,0.030769542683266687,0.04646304589388668,0.059671305450629084,0.030492100947213007,0.043768806755124116,0.1270604826312507,0.08731809333912414,0.05961358393818986,G,H,2311,,53.142418,-27.894182,2,23.643,0.101,0.4,0.068,8.0,1.625,0.797,0.058,-12.7,5.2,41.35,0,1,74175,128,2,0.009005364646472974,0.0003336694145566209,0.00048243885629779484,0.0006238800664852036,0.000850064313404489,0.000344982245285727,0.0016884981689843069,0.005589303227633355,0.0016306679802848983
474,goodss,2325,2.255,53.1536682,-27.893792,4.283,1,1.848272842412615,0.449468842035836,0.114069,53.15370574490623,-27.89381048937457,0.11767264336802075,0.04201886553334308,0.1134806667520165,0.17643531402000048,0.06734195111307865,0.16364004436038276,-0.00871454522950514,-0.010240137080900057,0.0022883877770923764,0.017862569777181488,0.007595044253905541,0.015401288284913921,0.02603477569667634,0.009928670381046292,0.02415915797344508,0.03791897014996265,0.014146130178423871,0.03565925995730817,0.047997874049084274,0.01766784476635133,0.04549504392409941,0.15557454270893398,0.04715531689590179,0.16262883871954828,G,H,2325,,53.153664,-27.893791,0,24.231,0.052,0.294,0.016,0.548,0.139,0.318,0.042,-69.8,2.8,38.28,0,1,74189,129,2,0.013839720526338322,0.0002476243632386811,0.0004775173489255058,0.000717565900172638,0.0006330461381219256,0.00034058776628725093,0.001722094644511442,0.005356264667169993,0.001630397938437365
475,goodss,2325,2.255,53.1536682,-27.893792,4.283,2,8.001319422445274,0.1499473509069537,0.114069,53.15353600766387,-27.89374386067293,0.04558118938949966,0.027514046163148884,0.027100714839526176,0.07868597847793175,0.037685403598676295,0.0615008623188832,-0.006637946887020614,-0.01126002781815082,0.006933121396695309,0.01010439357637206,0.005358658397055359,0.00711860276897505,0.016885199547415842,0.006032822625887641,0.016278565382292307,0.018954450279782188,0.01036875945531662,0.012878536236698351,0.022282523632953573,0.00886696780257889,0.020123333745562026,0.06606613176812667,0.038289579941957426,0.04166482773925387,G,H,2325,,53.153664,-27.893791,0,24.231,0.052,0.294,0.016,0.548,0.139,0.318,0.042,-69.8,2.8,38.28,0,1,74189,129,2,0.013839720526338322,0.00024181982296260263,0.00048463108523914426,0.0007130974121052162,0.0006196944153149498,0.0003383084518689288,0.001693298704680703,0.00544434644406559,0.0016321117735429718
476,goodss,2361,1.711,53.2111908,-27.8936461,7.307,1,10.202848254286646,0.0795047435513051,1.3908,53.211372158999495,-27.89371894188381,0.27022316402084845,0.17228658857776763,0.14690486316462117,0.3014068452883403,0.18124160844228837,0.1802478552690778,-0.02741513928993997,-0.019439777254734884,-0.01196304305280763,0.07194122634736998,0.03845109042013398,0.05023520389085399,0.09015077742258382,0.04468536587087642,0.0681981173275611,0.11234953239845141,0.06462408844976092,0.07158816592303574,0.13631188005992728,0.07529559010419665,0.09152443493359598,0.27839516170061473,0.17755153705777948,0.1512654369642529,G,H,2361,,53.211189,-27.893646,1,22.712,0.02,0.275,0.006,0.833,0.056,0.637,0.017,52.9,1.3,102.23,0,2,74225,130,3,0.005738440905986819,0.0002467179810718061,0.0004900674102381146,0.0007504872780993964,0.0006185502881316267,0.00035918584333787716,0.0020806553103077463,0.005753160171375474,0.0021105900169188048
477,goodss,2361,1.711,53.2111908,-27.8936461,7.307,2,9.32379281730348,0.2566183265375025,1.3908,53.21103270969057,-27.893702491940733,0.31693424976382084,0.15565339713205498,0.24192127894764873,0.20521080492932464,0.1347008962869621,0.1057648629635438,0.033205414553470446,-0.003202321993875414,0.05461160482101878,0.17948916838556112,0.06549557097653129,0.17099039611354475,0.19306767691291327,0.07572682555026763,0.17601127704396846,0.19089201152352064,0.08269414839148678,0.1622967946980508,0.2003856995864341,0.08960588192106464,0.1661697264980542,0.3108577768302102,0.15392221526870084,0.23540334234226404,G,H,2361,,53.211189,-27.893646,1,22.712,0.02,0.275,0.006,0.833,0.056,0.637,0.017,52.9,1.3,102.23,0,2,74225,130,3,0.005738440905986819,0.0002506698133242017,0.0004921720529608667,0.0007375573350292939,0.0006179858358100412,0.00036737105871348185,0.0020666959116666214,0.005497871813348959,0.0021589692330634094
