Unnamed: 0,Field,CANDELS_ID,z,RA_gal,DEC_gal,A,Clump_ID,dist_clump,flux_ratio,restuv_flux,RA_clump,DEC_clump,Raw_Flux_f125w_mjy,Background_Flux_f125w_mjy,Corrected_Flux_f125w_mjy,Raw_Flux_f160w_mjy,Background_Flux_f160w_mjy,Corrected_Flux_f160w_mjy,Raw_Flux_f275w_mjy,Background_Flux_f275w_mjy,Corrected_Flux_f275w_mjy,Raw_Flux_f435w_mjy,Background_Flux_f435w_mjy,Corrected_Flux_f435w_mjy,Raw_Flux_f606w_mjy,Background_Flux_f606w_mjy,Corrected_Flux_f606w_mjy,Raw_Flux_f775w_mjy,Background_Flux_f775w_mjy,Corrected_Flux_f775w_mjy,Raw_Flux_f850lp_mjy,Background_Flux_f850lp_mjy,Corrected_Flux_f850lp_mjy,Raw_Flux_f140w_mjy,Background_Flux_f140w_mjy,Corrected_Flux_f140w_mjy,Fld,F,ID,W,RAJ2000,DEJ2000,Q,mag,e_mag,r,e_r,n,e_n,q_lc,e_q,PA,e_PA,S_N,COSMOS,GOODS,recno,GroupID,GroupSize,Separation
2099,goodss,14042,1.9057,53.1492899,-27.7885251,6.515,3,3.2078516954497784,0.3486141951640199,0.626503,53.14924850427401,-27.7884948033838,0.6619730545401875,0.24172299174783254,0.6303750941885324,0.8409475879770704,0.3120952988166004,0.793278433740705,,,,0.1089876123545547,0.046834238931314075,0.09323006013486096,0.1861896264022999,0.07373966140572835,0.16867494749485734,0.26428196172273627,0.10126928160621727,0.24451902017477847,0.3498473825201124,0.13300549897688618,0.32526282531483935,0.7643600901092227,0.2854122105368254,0.7184218193585958,G,H,14042,,53.149284,-27.788525,0,22.437,0.002,0.286,0.001,1.201,0.008,0.581,0.002,-82.1,0.1,998.52,0,1,85906,511,3,0.018793931717094283
2100,goodss,14050,2.679,53.0797728,-27.7867355,6.184,1,8.223332657748927,0.2184765397927382,0.319071,53.079920479845406,-27.786790727914266,0.04220092688878693,0.011843864734030641,0.045535593232134436,0.05513451712519484,0.019081315029261543,0.05407980314389995,,,,0.02274892399003453,0.009014359594691131,0.0206018465930151,0.04007584056457776,0.013978448533346536,0.03914608804684684,0.0406136984675039,0.016498858246127797,0.03617226033206416,0.033220566917405554,0.011996952955298493,0.031835420943160594,0.03962161262099765,0.017404331298290936,0.03332592198406007,G,H,14050,W,53.079773,-27.786737,0,24.261,0.072,0.524,0.045,1.106,0.217,0.404,0.034,-64.9,3.0,41.66,0,2,85914,512,4,0.00543743859212342
2101,goodss,14050,2.679,53.0797728,-27.7867355,6.184,2,2.9022749697435635,0.1689350642439562,0.319071,53.07975093529169,-27.786774008874115,0.05731791548045311,0.02184422728339732,0.05321053229558368,0.10708903954324293,0.036644307810900334,0.10566709759851392,,,,0.012792576394047734,0.008708637567867682,0.006125908239270078,0.03543466659066311,0.017320540973880836,0.027171188425173416,0.0461913926136234,0.019574129564746467,0.039925894573315406,0.04769699449566303,0.01976500703045189,0.04189798119781671,0.10735863810729349,0.03793538736146939,0.10413487611873616,G,H,14050,W,53.079773,-27.786737,0,24.261,0.072,0.524,0.045,1.106,0.217,0.404,0.034,-64.9,3.0,41.66,0,2,85914,512,4,0.00543743859212342
2102,goodss,14050,2.679,53.0797728,-27.7867355,6.184,3,7.895771019982786,0.0887295283032099,0.319071,53.07990169340496,-27.786657388795845,0.014573159395662685,0.0077074039386504315,0.010298633185518382,0.020195444499312588,0.012953711204983169,0.010862599941494126,,,,0.0184105882341559,0.011869545181855337,0.009811564578450846,0.026706983281197163,0.013243210579970513,0.020195659051839978,0.023978916114272185,0.015169966941662808,0.013213423758914062,0.024765628539264374,0.014751821344733443,0.015020710791796399,0.03010764483973127,0.014560539475517616,0.02332065804632048,G,H,14050,W,53.079773,-27.786737,0,24.261,0.072,0.524,0.045,1.106,0.217,0.404,0.034,-64.9,3.0,41.66,0,2,85914,512,4,0.00543743859212342
2103,goodss,14050,2.679,53.0797728,-27.7867355,6.184,4,8.67774164169457,0.1502139329091646,0.319071,53.07975100783809,-27.78659067557466,0.02635603841101981,0.011639448515101817,0.022074884843876992,0.028750481331334104,0.010982839674912667,0.026651462484632148,,,,0.025282729239717167,0.008201057134996923,0.025622508157080368,0.03201299285039548,0.009300192723382379,0.034069200190519656,0.03184459311523288,0.011433773015451528,0.030616230149672033,0.02903093699742452,0.010793976804630161,0.027355440289191534,0.04086774600652074,0.02005527937033759,0.031218699954274728,G,H,14050,W,53.079773,-27.786737,0,24.261,0.072,0.524,0.045,1.106,0.217,0.404,0.034,-64.9,3.0,41.66,0,2,85914,512,4,0.00543743859212342
2104,goodss,14098,1.096,53.1740271,-27.7880069,10.407,1,26.935582646380603,0.0369858561274814,0.424221,53.173852623418114,-27.78843793149781,0.10754595638872569,0.06256962859268707,0.06746449169405797,0.11983967133740235,0.07279945027473518,0.07056033159400074,,,,0.02049112893235354,0.009871174949178862,0.015929930974762016,0.02453546703445708,0.01279053789060707,0.01761739371577502,0.03537774736340865,0.019658979243950613,0.02357815217918706,0.04962988194808117,0.027908664341674057,0.03258182640961067,0.12225123204249919,0.06932364370613363,0.07939138250454833,G,H,14098,,53.174026,-27.788006,0,22.955,0.005,0.496,0.003,1.468,0.018,0.303,0.003,62.4,0.2,559.62,0,2,85962,513,7,0.004771886583994201
2105,goodss,14098,1.096,53.1740271,-27.7880069,10.407,2,17.10191838654366,0.0608689780070616,0.424221,53.17372056852621,-27.78805464672084,0.047238400556791606,0.033422477086481064,0.020723885205465815,0.05213374737214465,0.03777872526322017,0.021532533163386724,,,,0.015110165822074669,0.006393822765174728,0.013074514585349912,0.01708988202559408,0.009676401195608753,0.01112022124497799,0.02642163500502333,0.0172651662886615,0.01373470307454275,0.041454831444596274,0.028857705091306828,0.018895689529934177,0.05236389112231759,0.038101754373316574,0.021393205123501523,G,H,14098,,53.174026,-27.788006,0,22.955,0.005,0.496,0.003,1.468,0.018,0.303,0.003,62.4,0.2,559.62,0,2,85962,513,7,0.004771886583994201
2106,goodss,14098,1.096,53.1740271,-27.7880069,10.407,3,2.212603104942233,0.2252880311571151,0.424221,53.17400313341928,-27.788004542766053,0.3426869384336665,0.1466734359347782,0.2940202537483324,0.39857957110250164,0.1715724940729039,0.34051061554439666,,,,0.055984347393207005,0.023509542045805232,0.04871220802110267,0.07883493774268314,0.033957090922355174,0.06731677023049197,0.14270174696026708,0.0616384980350975,0.12159487338775436,0.25808885080853783,0.1117752018925961,0.2194704733739125,0.37687797201536993,0.16251465459260317,0.3215449761341501,G,H,14098,,53.174026,-27.788006,0,22.955,0.005,0.496,0.003,1.468,0.018,0.303,0.003,62.4,0.2,559.62,0,2,85962,513,7,0.004771886583994201
2107,goodss,14098,1.096,53.1740271,-27.7880069,10.407,4,12.040166630906732,0.0586895580165039,0.424221,53.17419146253017,-27.787871139839726,0.06498451252523463,0.0550738141172163,0.014866047612027512,0.07451868226260079,0.06570656621638797,0.01321817406931923,,,,0.018333204362584496,0.010463701553173414,0.011804254214116622,0.022567805417328356,0.014378139048480487,0.012284499553271804,0.03488032550284706,0.025440014063880943,0.014160467158449172,0.06125790907731377,0.04588547599150971,0.023058649628706088,0.07107080451629381,0.06273943280591264,0.012497057565571746,G,H,14098,,53.174026,-27.788006,0,22.955,0.005,0.496,0.003,1.468,0.018,0.303,0.003,62.4,0.2,559.62,0,2,85962,513,7,0.004771886583994201
2108,goodss,14098,1.096,53.1740271,-27.7880069,10.407,5,24.69252138806404,0.2327184312847391,0.424221,53.17428556367838,-27.787671104987265,0.05528429622700627,0.013927343734339013,0.062035428739000885,0.08551329052756555,0.021401808974551587,0.09616722232952095,,,,0.04935054699674548,0.009651252209852235,0.059548942180339876,0.051883658709814,0.01021600049468395,0.06250148732269507,0.04769559723194555,0.010298650978058752,0.056095419380830215,0.04922014181539069,0.01216856059282599,0.05557737183384705,0.07651959896622028,0.019905231886295192,0.08492155061988763,G,H,14098,,53.174026,-27.788006,0,22.955,0.005,0.496,0.003,1.468,0.018,0.303,0.003,62.4,0.2,559.62,0,2,85962,513,7,0.004771886583994201
