Unnamed: 0,Field,CANDELS_ID,z,RA_gal,DEC_gal,A,Clump_ID,dist_clump,flux_ratio,restuv_flux,RA_clump,DEC_clump,Raw_Flux_f125w_mjy,Background_Flux_f125w_mjy,Corrected_Flux_f125w_mjy,Raw_Flux_f160w_mjy,Background_Flux_f160w_mjy,Corrected_Flux_f160w_mjy,Raw_Flux_f275w_mjy,Background_Flux_f275w_mjy,Corrected_Flux_f275w_mjy,Raw_Flux_f435w_mjy,Background_Flux_f435w_mjy,Corrected_Flux_f435w_mjy,Raw_Flux_f606w_mjy,Background_Flux_f606w_mjy,Corrected_Flux_f606w_mjy,Raw_Flux_f775w_mjy,Background_Flux_f775w_mjy,Corrected_Flux_f775w_mjy,Raw_Flux_f850lp_mjy,Background_Flux_f850lp_mjy,Corrected_Flux_f850lp_mjy,Raw_Flux_f140w_mjy,Background_Flux_f140w_mjy,Corrected_Flux_f140w_mjy,Fld,F,ID,W,RAJ2000,DEJ2000,Q,mag,e_mag,r,e_r,n,e_n,q_lc,e_q,PA,e_PA,S_N,COSMOS,GOODS,recno,GroupID,GroupSize,Separation
10,goodss,49,2.01,53.0906011,-27.9524238,4.831,2,3.49814415083198,0.1732311480644989,0.330353,53.09055313119852,-27.952409958861608,0.20794917722172404,0.11838923327869436,0.08955994394302969,0.3095779707196454,0.1666130924803494,0.142964878239296,0.005571434167872834,-0.0025548529038862456,0.008126287071759079,0.025628718974180512,0.01282639693832662,0.012802322035853894,0.04437551709818289,0.024529741285587908,0.01984577581259498,0.055330994289796924,0.03368437040268423,0.021646623887112693,0.08290295934577341,0.045360651808797295,0.03754230753697611,,,,G,H,49,,53.090599,-27.952423,0,23.198,0.038,0.32,0.014,0.856,0.108,0.762,0.028,88.6,2.1,57.01,0,1,71913,4,2,0.007272583211518736
11,goodss,73,1.531,53.0995266,-27.9491529,4.154,1,2.415874582837445,0.2703920901023067,0.179191,53.09957262376878,-27.949161784097416,0.14686131686063125,0.06332184306695453,0.08353947379367671,0.18228866824169904,0.08343901362936486,0.09884965461233416,0.001835753035460347,-3.159269798614193E-5,0.001867345733446489,0.03146723791527891,0.01351068684765858,0.017956551067620327,0.0363158710339319,0.014604867537843201,0.021711003496088694,0.05078525432523287,0.020731982187813715,0.030053272137419155,0.07320791151019783,0.03268380815530025,0.040524103354897575,0.17151774835836703,0.08759750049183734,0.08392024786652968,G,H,73,,53.099525,-27.949152,0,23.595,0.131,0.519,0.099,3.775,0.969,0.363,0.053,-65.0,4.9,34.98,0,2,71937,5,2,0.006032174941914051
12,goodss,73,1.531,53.0995266,-27.9491529,4.154,2,9.461313333781945,0.0418609826900298,0.179191,53.09938397315413,-27.949061752988644,0.037434363224595466,0.03235130418692766,0.005083059037667809,0.03999326107008496,0.04078367441506782,-7.904133449828577E-4,0.009915075916204562,0.004290171191487523,0.005624904724717039,0.016157732151834654,0.005959898063226482,0.010197834088608172,0.021264373782380983,0.009512243440850852,0.01175213034153013,0.023012120475116526,0.012996957705541972,0.010015162769574553,0.023018479861108172,0.018145415292319996,0.004873064568788178,0.05434132152248681,0.03078033086489942,0.023560990657587388,G,H,73,,53.099525,-27.949152,0,23.595,0.131,0.519,0.099,3.775,0.969,0.363,0.053,-65.0,4.9,34.98,0,2,71937,5,2,0.006032174941914051
13,goodss,79,1.012,53.0905242,-27.9505466,10.436,1,21.21876999262681,0.0198220559206334,1.01189,53.09074226623816,-27.95086001270661,0.10947520727341939,0.10862462319087447,8.505840825449196E-4,0.14479005750836332,0.1358949192067349,0.008895138301628407,-0.013895765115505087,-0.008879648735298964,-0.005016116380206123,0.0191192016203088,0.010679985883461966,0.008439215736846833,0.028013071099280487,0.020545305210315477,0.00746776588896501,0.05003651459985962,0.03970174335643718,0.010334771243422438,0.08264170266171726,0.0796580709103957,0.0029836317513215675,-9.570682844992015E-20,-1.734626660168111E-19,7.775583756689097E-20,G,H,79,,53.090523,-27.950544,0,20.471,0.008,0.713,0.005,0.674,0.012,0.613,0.004,-46.5,0.3,339.95,0,1,71943,6,8,0.010108020942741474
14,goodss,79,1.012,53.0905242,-27.9505466,10.436,2,11.759090100853893,0.0515270166564611,1.01189,53.09045928834253,-27.950743281037823,0.3645860726770336,0.2615644057534249,0.10302166692360874,0.4022151588058059,0.3276864588195153,0.07452869998629058,0.004056155594846526,-0.009322927809472149,0.013379083404318676,0.029936379661100576,0.01294165133404616,0.016994728327054415,0.06398076689707098,0.03003197160776645,0.03394879528930453,0.1304708112253401,0.07478811258580809,0.05568269863953201,0.2183911669817882,0.13929544326030768,0.07909572372148053,1.4767668229411678E-19,-1.019050895510736E-19,2.495817718451904E-19,G,H,79,,53.090523,-27.950544,0,20.471,0.008,0.713,0.005,0.674,0.012,0.613,0.004,-46.5,0.3,339.95,0,1,71943,6,8,0.010108020942741474
15,goodss,79,1.012,53.0905242,-27.9505466,10.436,3,11.82016074340785,0.0815076184558353,1.01189,53.09074233507276,-27.950626680870933,0.5721374242853617,0.42243306708149475,0.14970435720386696,0.7173285584304275,0.5667279740288885,0.15060058440153903,-6.309518503910531E-5,0.006756562399647829,-0.006819657584686935,0.051961148078535795,0.029720193326324505,0.022240954752211294,0.10342278158366779,0.06470426348293236,0.03871851810073541,0.21692508931341695,0.14179256495671202,0.07513252435670492,0.3914788628180626,0.2670063633212575,0.12447249949680506,5.092297701984199E-19,-3.2710329165960542E-21,5.125008031150159E-19,G,H,79,,53.090523,-27.950544,0,20.471,0.008,0.713,0.005,0.674,0.012,0.613,0.004,-46.5,0.3,339.95,0,1,71943,6,8,0.010108020942741474
16,goodss,79,1.012,53.0905242,-27.9505466,10.436,4,22.102402584334584,0.1039832900501668,1.01189,53.09011974374247,-27.950509869535257,0.21622875232474575,0.104320095397129,0.11190865692761674,0.24297169908236313,0.12544007872716123,0.1175316203552019,0.044032548301354814,0.004610825415053733,0.03942172288630108,0.06154544004333004,0.0138837342702033,0.04766170577312675,0.09729115587156346,0.02542353579143831,0.07186762008012515,0.17277499471311122,0.050036472052770564,0.12273852266034065,0.18508824637615082,0.05863810300156125,0.1264501433745896,-1.360907588598216E-19,-4.889203250126718E-19,3.528295661528502E-19,G,H,79,,53.090523,-27.950544,0,20.471,0.008,0.713,0.005,0.674,0.012,0.613,0.004,-46.5,0.3,339.95,0,1,71943,6,8,0.010108020942741474
17,goodss,79,1.012,53.0905242,-27.9505466,10.436,5,11.651446262159904,0.0139363615668289,1.01189,53.0906103368572,-27.950376651858647,0.32585230314993235,0.2704732001852279,0.05537910296470445,0.4125364940086703,0.3675791137520578,0.04495738025661249,0.001638892849960646,4.998808937766916E-4,0.0011390119561839544,0.02106419422219434,0.013692545750510382,0.007371648471683958,0.0521940885158752,0.03438378861943953,0.01781029989643567,0.10917082344034663,0.08129994173765692,0.02787088170268972,0.201077244258925,0.15494235545568857,0.046134888803236455,-1.0231251936281371E-19,3.0082805444252497E-19,-4.0314057380533866E-19,G,H,79,,53.090523,-27.950544,0,20.471,0.008,0.713,0.005,0.674,0.012,0.613,0.004,-46.5,0.3,339.95,0,1,71943,6,8,0.010108020942741474
18,goodss,79,1.012,53.0905242,-27.9505466,10.436,6,15.429069965490468,0.063163489592419,1.01189,53.09032732550137,-27.950376585837997,0.6875434694090578,0.34529228044213095,0.34225118896692686,0.8682834780851841,0.4531763679658488,0.4151071101193354,-0.0013760750760150788,-0.007854364533295959,0.006478289457280879,0.03872265460277449,0.013572566665010425,0.025150087937764066,0.09446258748236531,0.03728276588862104,0.057179821593744275,0.20077820474175218,0.090818036448103,0.10996016829364917,0.3580848268329862,0.17732195398388773,0.1807628728490985,-2.1434859342875258E-19,1.633772474095758E-19,-3.777258408383284E-19,G,H,79,,53.090523,-27.950544,0,20.471,0.008,0.713,0.005,0.674,0.012,0.613,0.004,-46.5,0.3,339.95,0,1,71943,6,8,0.010108020942741474
19,goodss,79,1.012,53.0905242,-27.9505466,10.436,7,14.04051993339278,0.0180066775534122,1.01189,53.09049714717787,-27.950326625839157,0.36835891305050783,0.263536322476989,0.10482259057351877,0.45454572324597453,0.34172783152006064,0.11281789172591387,-0.0034693334824399953,-0.007067156466476178,0.0035978229840361825,0.017886611972154992,0.009723707718874774,0.008162904253280218,0.047593354947495406,0.028002235304265096,0.019591119643230306,0.10033981948974674,0.06737110124811868,0.03296871824162805,0.20277861722456406,0.1392748168709192,0.06350380035364485,-4.017436362936776E-19,3.070916966749326E-19,-7.088353329686102E-19,G,H,79,,53.090523,-27.950544,0,20.471,0.008,0.713,0.005,0.674,0.012,0.613,0.004,-46.5,0.3,339.95,0,1,71943,6,8,0.010108020942741474
